title,sell_price,orig_price,rating,num_ratings_reviews
MarQ by Flipkart 560 L Frost Free Side by Side Refrigerator  with Water Dispenser,"₹53,990","₹65,999",4.5,"2,661 Ratings & 397 Reviews"
MarQ by Flipkart 170 L Direct Cool Single Door 2 Star Refrigerator,"₹10,490","₹12,999",4.1,"5,951 Ratings & 719 Reviews"
Haier 192 L Direct Cool Single Door 3 Star Refrigerator,"₹14,290","₹19,500",4,334 Ratings & 40 Reviews
Whirlpool 205 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer  with Auto Defrost,"₹20,390","₹25,250",4.4,"3,423 Ratings & 368 Reviews"
Whirlpool 265 L Frost Free Double Door 2 Star Refrigerator,"₹25,090","₹30,550",4.3,"13,835 Ratings & 1,650 Reviews"
LG 235 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,"₹22,090","₹30,399",4.4,"6,955 Ratings & 723 Reviews"
Haier 630 L Frost Free Side by Side Convertible Refrigerator,"₹69,990","₹1,31,900",4.3,61 Ratings & 7 Reviews
Whirlpool 190 L Direct Cool Single Door 2 Star Refrigerator,"₹14,240","₹16,700",4.3,"4,705 Ratings & 389 Reviews"
Godrej 185 L Direct Cool Single Door 3 Star Refrigerator,"₹14,290","₹15,990",4.3,"13,119 Ratings & 1,425 Reviews"
Haier 195 L Direct Cool Single Door 4 Star Refrigerator,"₹14,990","₹18,400",4.6,41 Ratings & 2 Reviews
LG 190 L Direct Cool Single Door 3 Star Refrigerator with Base Drawer  with Fast Ice Making,"₹17,690","₹22,299",,
Whirlpool 265 L Frost Free Double Door 2 Star Refrigerator  with Glass Door,"₹23,790","₹28,109",4.4,"2,255 Ratings & 251 Reviews"
LG 308 L Frost Free Double Door 3 Star Convertible Refrigerator  with Smart Inverter With Multi Air Fl...,"₹36,890","₹48,199",4.3,19 Ratings & 1 Reviews
LG 235 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer,"₹23,200","₹28,290",4.4,"8,792 Ratings & 996 Reviews"
Whirlpool 215 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,"₹21,290","₹24,200",4.4,"3,423 Ratings & 368 Reviews"
Whirlpool 190 L Direct Cool Single Door 2 Star Refrigerator,"₹14,240","₹17,150",4.3,"6,426 Ratings & 525 Reviews"
SAMSUNG 230 L Direct Cool Single Door 3 Star Refrigerator with Base Drawer,"₹18,500","₹23,990",,
Whirlpool 190 L Direct Cool Single Door 3 Star Refrigerator,"₹15,340","₹18,000",4.3,614 Ratings & 47 Reviews
LG 260 L Frost Free Double Door 2 Star Refrigerator,"₹22,928","₹25,000",4.2,98 Ratings & 8 Reviews
LG 360 L Frost Free Double Door 3 Star Convertible Refrigerator  with Smart Inverter Technology & Wi-F...,"₹45,990","₹57,599",4.5,24 Ratings & 3 Reviews
Haier 346 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹36,490","₹54,600",4.5,727 Ratings & 104 Reviews
,,,,
,,,,
Haier 345 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹33,990","₹52,400",4.2,126 Ratings & 13 Reviews
Godrej 190 L Direct Cool Single Door 5 Star Refrigerator,"₹17,490","₹21,000",4.4,"4,946 Ratings & 573 Reviews"
Whirlpool 205 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer  with Auto Defrost,"₹20,390","₹25,250",4.4,"3,423 Ratings & 368 Reviews"
LG 360 L Frost Free Double Door 3 Star Convertible Refrigerator  with Smart Inverter Technology & Wi-F...,"₹45,990","₹57,599",4.5,24 Ratings & 3 Reviews
"LG 215 L Direct Cool Single Door 5 Star Refrigerator  with Smart Inverter With Smart Connect , Moist '...","₹22,090","₹27,999",4.3,31 Ratings & 1 Reviews
Whirlpool 245 L Frost Free Double Door 2 Star Refrigerator,"₹24,390","₹30,200",4.2,810 Ratings & 84 Reviews
Lloyd 200 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer,"₹15,990","₹24,390",4.4,"2,060 Ratings & 242 Reviews"
