title,sell_price,orig_price,rating,num_ratings_reviews
realme SLED 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV,"₹38,999","₹69,999",4.3,"2,369 Ratings & 312 Reviews"
,,,,
,,,,
Sansui 109 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Dolby Audio and DTS (Mystique Black) (...,"₹24,820","₹38,990",4.1,233 Ratings & 28 Reviews
Hisense A6GE 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV with Dolby Vision and Dolby Atmos,"₹32,490","₹54,990",4.3,"1,418 Ratings & 216 Reviews"
Adsun Frameless 80 cm (32 inch) HD Ready LED Smart Android Based TV,"₹8,549","₹29,999",3.8,"12,551 Ratings & 1,803 Reviews"
Adsun 80 cm (32 inch) HD Ready LED TV,"₹7,599","₹16,999",3.8,"12,551 Ratings & 1,803 Reviews"
KODAK 60 cm (24 inch) HD Ready LED TV,"₹6,999","₹10,499",4,"9,660 Ratings & 1,119 Reviews"
SAMSUNG The Serif Series 123 cm (49 inch) QLED Ultra HD (4K) Smart Tizen TV,"₹63,741","₹1,29,900",4.4,40 Ratings & 3 Reviews
Dyanora Sigma 108 cm (43 inch) Full HD LED Smart Linux TV with 40 Watt Box Speakers & Bezel-Less Desig...,"₹14,999","₹29,999",4.2,16 Ratings & 3 Reviews
"Dyanora 60 cm (24 inch) HD Ready LED TV with Noise Reduction, Cinema Zoom, Powerful Audio Box Speakers","₹5,936","₹10,999",4.1,"3,188 Ratings & 421 Reviews"
LG Nano Cell 139 cm (55 inch) Ultra HD (4K) LED Smart WebOS TV 2022 Edition,"₹58,990","₹94,990",4.4,576 Ratings & 85 Reviews
KODAK 7XPro 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV with 40W Sound Output & Bezel-Less Des...,"₹26,999","₹42,999",4.3,"5,928 Ratings & 1,342 Reviews"
KODAK CA PRO 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Dolby MS12 & Dolby Digital Plus,"₹24,999","₹39,999",4.4,"19,116 Ratings & 5,692 Reviews"
Candes Frameless 81 cm (32 inch) HD Ready LED TV,"₹8,490","₹22,690",3.9,203 Ratings & 33 Reviews
"Dyanora 108 cm (43 inch) Full HD LED Smart Android Based TV with Noise Reduction, Android 9.0, Google ...","₹15,999","₹32,999",4.1,"3,188 Ratings & 421 Reviews"
"Dyanora 60 cm (24 inch) HD Ready LED Smart Android Based TV with Noise Reduction, Android 9.0, Powerfu...","₹6,699","₹12,499",4.1,"3,188 Ratings & 421 Reviews"
Thomson 9A Series 108 cm (43 inch) Full HD LED Smart Android TV with Bezel Less Display,"₹19,999","₹29,999",4.3,"84,253 Ratings & 17,721 Reviews"
SAMSUNG 139 cm (55 inch) Ultra HD (4K) LED Smart Tizen TV,"₹48,990","₹70,900",,
"Dyanora 80 cm (32 inch) HD Ready LED Smart Android TV with Noise Reduction, Android 9.0, Powerful Audi...","₹8,739","₹18,999",4.1,"3,188 Ratings & 421 Reviews"
"Dyanora 80 cm (32 inch) HD Ready LED TV with Noise Reduction, Cinema Zoom, Powerful Audio Box Speakers","₹7,499","₹15,999",4.1,"3,188 Ratings & 421 Reviews"
MOTOROLA Revou-Q 139 cm (55 inch) QLED Ultra HD (4K) Smart Android TV with Wireless Gamepad,"₹54,999","₹63,999",4.3,"1,585 Ratings & 255 Reviews"
LG 108 cm (43 inch) Ultra HD (4K) LED Smart WebOS TV,"₹32,990","₹59,990",4.4,"10,392 Ratings & 1,270 Reviews"
Coocaa 100 cm (40 inch) Full HD LED Smart Coolita TV with Dolby Audio and Eye Care Technology,"₹15,999","₹39,999",4.2,"17,552 Ratings & 2,702 Reviews"
KODAK CA PRO 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV with Dolby MS12 & Dolby Digital Plus,"₹28,999","₹46,499",4.4,"19,116 Ratings & 5,692 Reviews"
"Dyanora 100 cm (40 inch) HD Ready LED Smart Android Based TV with Noise Reduction,Android 9.0,Google V...","₹13,999","₹23,999",4.1,"3,188 Ratings & 421 Reviews"
"Dyanora 60 cm (24 inch) HD Ready LED Smart Android Based TV with Noise Reduction, Android 9.0, (1GB RA...","₹6,999","₹12,999",4.1,"3,188 Ratings & 421 Reviews"
,,,,
,,,,
Hisense A4G Series 80 cm (32 inch) HD Ready LED Smart Android TV with DTS Virtual X,"₹11,490","₹24,990",4.1,112 Ratings & 18 Reviews
Thomson 126 cm (50 inch) QLED Ultra HD (4K) Smart Google TV With Dolby Vision & Dolby Atmos,"₹33,999","₹49,999",4.6,985 Ratings & 284 Reviews
